AMC;OLEFINAS I;208-C;Enfriador 4ta etapa compresor 181-J;TUBO/CARCASA;Gas de proceso;98,2;40,5;113392;113392;112347;0;1045;Cambio de Fase Parcial;18,62;0,35;0,2;0.00022;Agua enfriamiento;33,3;40,6;501700;0;0;501700;501700;Sin Cambio de Fase;1,8;0,7;0,65;0.000294;;4245,227;;514;1194;7,315;19,05;990;SA-516-70;SA 214;"10""-150#RF";"10""-150#RF";"2-12""-300#RF";"16""-300#RF";Liso;23,8;Kellog;Semi-cr¡tico;1;1;AJS
AMC;OLEFINAS I;210-C;Enfriador 5ta etapa compresor 181-J;TUBO/CARCASA;Gas de proceso;104,5;40,5;110246;110246;110246;0;0;Sin Cambio de Fase;37,61;0,62;0,25;0.00022;Agua enfriamiento;33,3;40,3;58080;0;0;58080;58080;Sin Cambio de Fase;4,49;0,75;0,55;0.000294;;4543,6;;367;857;7,315;19,05;889;SA-516-70;SA 179;"10""-150#RF";"10""-150#RF";"2-10""-300#RF";"12""-300#RF";Liso;23,8;Kellog;Semi-cr¡tico;1;1;AJS
AMC;OLEFINAS I;213-C;Enfriador efluente convertidor acetileno;TUBO/CARCASA;Gas de proceso;112,7;40,6;106988;106988;106988;0;0;Sin Cambio de Fase;16,39;0,5;0,5;0.00022;Agua enfriamiento;33,3;40,3;572009;0;0;572009;572009;Sin Cambio de Fase;4,49;0,55;0,55;0.000294;;4656,8;;384;1080;6,096;19,05;1090;SA-516-70;SA 214;"12""-150#RF";"12""-150#RF";"18""-150#RF";"18""-150#RF";Liso;23,8;Kellog;Semi-cr¡tico;1;1;AES
AMC;OLEFINAS I;301-C;Generador de vapor de diluc¡¢n;TUBO/CARCASA;Vapor de diluc¢n;179;179;153273;0;45982;153273;107291;Cambio de Fase Parcial;8.99;0.23;0.11;0.00018;Vapor de alta presi¢n;326;200;41225;41225;41225;0;0;Sin Cambio de Fase;14.79;0.20;0.16;0.0009;;25756,111;;855,2;988;7,315;19,05;1372;SA-516-70;SA 214;"12""-600#RF";"6""-600#RF";"2-6""-150#RF";"2-16""-150#RF";Liso;25.4;Kellog;No-cr¡tico;1;1;BXU
AMC;OLEFINAS I;302-C;Calentador de vapor de diluc¡¢n;TUBO/CARCASA;Vapor de diluc¢n;371;206;3870;3870;3870;0;0;Sin Cambio de Fase;15.24;0.25;0.12;0.0009;Vapor de alta presi¢n;179;190;49707;49707;49707;0;0;Sin Cambio de Fase;8.94;0.35;0.20;0.00018;;416,655;;33,8;145;2,44;31.75;559;SA-516-70;SA 214;"12""-300#RF";"12""-300#RF";"4""-600#RF";"4""-600#RF";Liso;39.7;Kellog;No-cr¡tico;1;1;BEM
AMC;OLEFINAS I;303-C;Purga de vapor de diluci¢n/ Intercambiador de condensados;TUBO/CARCASA;Purga de condensado;179;106;4603;4603;4603;0;0;Sin Cambio de Fase;-;0.35;0.02;0.00018;Condensado de proceso;89;101;26692;26692;26692;0;0;Sin Cambio de Fase;-;0.35;0.12;0.000294;;397,222;;13,3;94;2,44;19,05;-;SA-106-GR B;SA 214;"4""-150#RF";"4""-150#RF";"2""-150#RF";"2""-150#RF";Liso;25.4;Kellog;No-cr¡tico;1;1;AES
AMC;OLEFINAS I;304-C;Enfriador purga de vapor de diluci¢n;TUBO/CARCASA;Purga de condensado;106,8;40,6;4603;4603;4603;0;0;Sin Cambio de Fase;-;0.35;0.02;0.00019;Agua de enfriamiento;33,3;40,3;43673;0;0;43673;43673;Sin Cambio de Fase;-;0.35;0.31;0.00019;;355,556;;32,2;112;4,88;19,05;-;SA-106-GR B;SA 214;"4""-150#RF";"4""-150#RF";"2""-150#RF";"1 1/2""-150#RF";Liso;25.5;Kellog;No-cr¡tico;1;1;AES
AMC;OLEFINAS I;2115-C;Cold Relief heater;TUBO/CARCASA;Vapor de alivio frio(Etileno);-66;1;58000;58000;58000;0;0;Sin Cambio de Fase;1.39;0.30;0.30;0.000176;Vapor;138,3;138,3;2607;2607;2607;0;0;Sin Cambio de Fase;2.42;-;0.18;0.00008;;1555,51;;63,8;192;4,267;25.4;610;SA-240-304;SA-249-TP304 ;"6""-150#RF";"2""-150#RF";"2-18""-150#RF";"2-18""-150#RF";Liso;33.78;Kellog;Semi-cr¡tico;1;1;-
AMC;OLEFINAS I;103-CH I;Quench gases de pirolisis;TUBO/CARCASA;Agua saturada;500;500;*;*;*;*;*;Sin Cambio de Fase;45,51;-;;0.0005;Efluente horno pirolisis;1550;*;39000;39000;39000;0;0;Sin Cambio de Fase;1.17;-;;0.0005;;*;;*;*;11,5;-;489;CS;SA 312 T12;*;*;"1ï 10""";"1ï12""";Liso;-;Kellog;No-cr¡tico;-;1;QUENCH BOILER
AMC;OLEFINAS I;140-C A;Vaporizador alimentaci¢n del hidrogenador;TUBO/CARCASA;HC;33;34,8;12660;552;12660;12108;*;Cambio de Fase Parcial;11,04;-;;0.00052;Vapor ;138,3;138,3;1837;*;*;*;*;Sin Cambio de Fase;2,44;0,13;0,2;0.000176;;1096,4;;25;34;6,096;19;685;CS;CS;"4""-150#RF";"1 1/2""-150#RF";"4""-150#RF";"6""-150#RF";Tubo en U;25.4;INDUSTRIAS METALURGIAS VAN DAM;No-cr¡tico;1;1;BKU
